user_idx,similar_user_1,similar_user_2,similar_user_3
1,117,760,345
2,858,570,407
3,79,530,1027
4,801,257,725
5,556,636,916
7,690,801,4
8,717,25,605
9,462,927,214
10,1005,650,451
11,747,47,117
12,1012,552,992
13,752,698,542
14,96,130,98
15,462,566,173
16,314,531,902
17,300,977,28
18,502,594,978
19,621,950,391
20,939,765,870
21,544,899,875
22,64,558,841
23,744,309,271
24,25,250,8
25,8,570,24
26,1067,305,224
27,529,435,1068
28,959,597,839
29,369,653,812
30,339,328,1011
31,576,194,82
32,982,1036,158
33,115,493,848
34,143,524,1014
35,294,76,643
36,1002,607,610
37,800,829,812
38,76,401,449
39,286,1031,778
40,107,692,769
41,71,830,897
42,1028,1037,172
43,1067,590,920
45,605,186,1063
46,844,504,395
47,369,423,938
48,161,218,115
49,997,756,173
50,938,89,553
51,142,161,375
52,392,826,623
53,909,678,724
54,863,395,856
55,989,759,729
56,148,356,454
57,729,727,1043
58,544,1013,905
59,556,995,892
60,844,1078,775
61,497,118,867
62,1061,283,286
63,879,501,905
64,22,196,103
65,36,607,342
66,14,28,127
67,921,882,665
68,307,840,811
69,667,1062,181
70,389,411,494
71,41,11,931
72,729,118,1043
73,352,285,556
74,749,1069,935
75,446,956,332
76,38,576,751
77,1043,72,154
78,352,266,777
79,403,967,3
80,1038,798,623
81,1071,504,289
82,843,113,374
83,729,892,961
84,617,730,533
85,174,858,1048
86,679,894,511
87,513,240,357
88,278,350,685
89,452,50,424
90,984,690,496
91,209,243,959
92,841,399,709
93,847,575,528
94,779,314,877
95,333,1024,576
96,14,910,24
97,1065,308,813
98,212,283,366
99,60,779,300
100,226,86,313
101,862,1028,224
103,567,470,64
104,114,209,651
105,831,414,795
106,157,663,65
107,151,40,336
108,176,735,989
110,332,132,155
111,1027,533,603
112,610,629,220
113,337,82,107
114,104,841,303
115,48,450,218
116,1023,866,828
117,240,357,358
118,72,899,725
119,608,1039,846
120,795,474,277
121,209,271,647
123,264,774,285
124,486,19,793
125,327,774,216
126,549,148,259
127,1027,329,804
128,1083,403,1029
129,26,822,345
130,956,266,850
131,491,403,35
132,686,155,110
133,161,740,609
134,606,963,1031
135,1069,966,594
136,535,93,777
137,453,1059,307
138,1040,969,522
139,183,1067,731
140,451,508,650
141,127,898,513
142,51,956,486
143,272,34,601
144,285,651,227
145,711,985,728
146,1078,1010,654
147,532,336,821
148,743,56,1061
149,717,764,524
150,506,1038,29
151,107,544,336
152,1023,926,681
153,276,423,167
154,77,403,29
155,392,132,110
156,828,401,274
157,106,169,333
158,737,32,884
159,845,446,1065
160,535,305,127
161,48,1072,382
162,655,392,564
163,32,968,288
164,566,370,1034
165,858,8,701
166,799,548,320
167,953,51,1059
168,321,376,652
169,1083,157,905
170,821,1023,54
171,25,170,297
172,42,430,514
173,657,1016,15
174,85,428,8
175,949,379,130
176,108,657,555
177,401,274,427
178,484,1017,217
179,211,1002,883
180,557,954,716
181,576,69,278
182,115,815,286
183,139,151,731
184,765,1006,777
185,146,129,1018
186,578,764,298
187,1044,92,408
188,446,916,958
189,218,126,1027
190,785,250,927
191,920,995,760
193,407,813,627
194,200,483,882
195,317,411,406
196,532,64,1015
197,927,898,580
198,680,522,8
199,969,464,773
200,194,463,348
201,392,83,564
202,868,473,285
203,899,450,686
204,747,381,865
205,537,643,599
206,1007,588,265
207,941,797,314
208,1048,963,736
209,104,91,996
210,876,684,487
211,648,1052,583
212,98,167,392
213,446,224,479
214,973,197,265
215,316,556,1063
216,125,716,677
217,650,1058,456
218,48,115,788
219,967,336,550
220,389,665,327
221,163,1074,1067
222,107,85,522
223,760,990,776
224,299,903,1065
225,952,241,996
226,460,361,100
227,1077,307,271
228,1036,60,755
229,218,48,341
230,237,534,318
231,632,255,11
232,627,454,414
233,366,252,463
234,409,917,614
235,471,712,510
236,612,603,451
237,661,230,741
238,489,505,28
239,402,995,554
240,958,117,213
241,1069,232,225
242,1067,1000,248
243,882,940,91
244,613,290,967
245,499,320,832
246,934,454,281
247,887,377,133
248,860,242,338
249,8,522,826
250,190,24,115
251,276,688,848
252,366,681,233
253,327,486,1023
254,144,5,484
255,115,101,357
256,460,405,859
257,151,161,801
258,648,508,843
259,126,512,546
260,1074,271,313
261,813,520,483
262,562,941,191
263,224,353,1023
264,123,285,1062
265,805,214,1007
266,78,389,130
267,43,915,375
268,786,382,327
269,1064,953,968
270,782,555,667
271,376,118,815
272,143,865,601
273,524,346,274
274,860,497,177
275,984,925,522
276,251,153,956
277,454,848,72
278,88,965,1082
279,366,666,639
280,438,415,1045
281,836,855,810
282,405,1023,890
283,62,666,933
284,607,220,242
285,264,645,144
286,564,401,75
287,512,661,211
288,408,1058,647
289,988,1037,534
290,613,392,244
291,703,762,460
292,883,862,396
293,262,422,1082
294,967,1076,339
295,833,982,683
296,537,112,657
297,940,522,893
298,701,848,751
299,224,897,729
300,17,757,710
301,960,40,336
302,572,387,427
303,701,198,114
304,264,948,940
305,224,26,532
306,321,31,1032
307,663,68,729
308,580,1005,97
309,566,402,23
310,769,203,357
311,964,1050,380
312,466,759,361
313,537,972,18
314,1032,16,779
315,603,1007,447
316,215,385,1078
317,195,948,711
318,230,881,979
319,514,335,325
320,848,298,177
321,168,395,541
322,1069,707,225
323,926,1031,32
324,366,413,535
325,924,838,569
326,339,597,1043
327,125,253,220
328,30,614,340
329,127,761,305
330,947,1039,1
331,946,408,953
332,334,110,75
333,919,903,224
334,903,224,353
335,635,498,742
336,151,107,147
337,113,1005,719
338,370,213,305
339,326,477,294
340,161,903,292
341,559,320,576
342,523,541,869
343,340,926,162
344,398,949,479
345,616,411,994
346,899,858,544
347,459,210,499
348,687,200,115
349,617,699,585
350,88,578,514
351,694,699,580
352,866,743,78
353,903,224,334
354,278,702,768
355,1057,687,895
356,1076,499,127
357,530,117,856
358,117,115,8
359,2,916,885
360,897,649,785
361,561,1064,226
362,674,939,1021
363,177,694,26
364,463,880,1054
365,1066,1080,307
366,233,252,681
367,274,524,214
368,466,249,680
369,980,47,799
370,338,1027,164
371,670,540,225
372,341,943,1049
373,966,713,925
374,82,1003,609
375,796,756,51
376,326,168,861
377,247,904,601
378,672,385,824
379,915,1020,175
380,628,907,237
381,204,815,29
382,161,1065,268
383,867,740,446
384,223,90,34
385,378,631,316
386,1010,755,60
387,980,524,361
388,409,110,265
389,220,266,871
390,743,444,564
391,834,327,19
392,155,162,1066
394,339,1064,927
395,54,497,860
396,647,292,182
397,31,576,864
398,344,583,952
399,918,107,856
400,1059,416,253
401,177,610,538
402,650,1060,408
403,850,79,294
404,670,211,179
405,282,451,614
406,627,126,351
407,193,984,806
408,288,1060,650
409,388,234,700
411,345,195,70
412,772,264,521
413,48,324,878
414,232,837,105
415,280,32,833
416,977,400,3
417,680,588,614
418,687,644,361
419,680,892,59
420,163,263,22
421,457,1023,1049
422,691,489,589
423,47,863,153
424,586,574,1049
425,684,210,525
427,847,112,177
428,971,174,483
429,705,687,752
430,932,631,172
431,588,676,411
432,632,793,705
433,956,957,949
434,851,738,650
435,451,1044,303
436,258,553,1028
438,280,167,613
439,82,211,648
440,636,203,444
441,748,80,469
442,997,413,203
443,124,185,734
444,390,880,207
445,34,628,974
446,75,213,749
447,1009,72,496
448,285,69,1
449,38,1064,933
450,115,804,687
451,405,435,140
452,603,837,575
453,650,811,10
454,232,277,151
456,477,1043,1065
457,421,220,268
458,527,776,784
459,347,571,748
460,226,681,256
461,763,841,932
462,9,1014,799
463,364,200,233
464,717,545,283
465,561,832,339
466,368,538,312
467,42,498,920
468,684,996,617
469,1024,576,773
470,567,103,1034
471,235,107,690
472,113,1008,946
473,679,202,894
474,42,350,120
475,717,833,1006
476,748,460,1011
477,1043,339,72
478,573,402,776
479,213,874,793
480,835,1000,373
481,699,1079,959
482,873,595,972
483,194,261,428
484,956,527,328
485,402,190,793
486,897,253,142
487,863,936,1023
488,481,959,396
489,238,422,28
491,957,131,1072
492,128,647,643
493,800,287,33
494,1037,637,937
495,542,973,595
496,252,499,603
497,860,61,274
498,467,42,1037
499,899,577,956
500,1037,982,339
501,563,298,63
502,18,1067,17
503,564,241,558
504,46,288,844
505,238,17,916
506,150,563,190
507,820,113,461
508,921,258,716
509,994,894,673
510,200,496,1013
511,594,959,86
512,259,211,287
513,87,956,197
514,42,350,949
515,994,830,615
516,486,897,320
518,116,743,780
519,568,435,677
520,627,975,261
521,412,42,736
522,984,198,680
523,342,757,333
524,1014,887,273
525,661,531,1016
526,368,550,769
527,484,458,1044
528,93,914,136
529,914,945,975
530,3,357,821
531,661,525,16
532,961,903,147
533,111,803,997
534,230,535,828
535,777,160,850
536,681,653,326
537,205,313,959
538,401,701,633
539,1008,303,999
540,891,678,622
541,829,556,342
542,733,946,828
543,353,224,249
544,151,21,8
545,345,1006,838
546,259,403,935
547,791,604,556
548,166,369,329
549,126,866,1075
550,967,219,564
552,1003,945,107
553,232,1063,50
554,655,1000,239
555,622,617,540
556,5,59,215
557,180,224,961
558,22,841,939
559,341,795,78
560,877,753,590
561,361,8,240
562,262,1069,838
563,501,48,177
564,286,162,249
565,479,110,1065
566,309,164,564
567,103,470,18
568,519,101,624
569,597,51,112
570,811,25,544
571,118,459,959
572,302,297,368
573,807,853,605
574,424,886,905
575,452,93,766
576,1024,971,76
577,499,294,611
578,186,350,850
579,970,131,596
580,1067,583,979
581,224,908,325
582,580,920,724
583,1020,580,211
584,866,828,326
585,995,603,1032
586,424,608,1061
587,893,1021,158
588,591,206,431
589,729,907,422
590,43,855,877
591,588,852,134
592,595,705,735
593,834,986,719
594,18,511,978
595,592,991,482
596,579,391,928
597,801,326,569
598,265,973,823
599,205,296,358
601,580,377,583
603,452,111,1003
604,547,995,105
605,8,932,174
606,134,1042,728
607,284,36,681
608,717,586,119
609,749,867,133
610,785,112,401
611,499,725,376
612,236,375,823
613,274,290,244
614,405,328,871
615,362,515,790
616,345,885,1080
617,555,468,757
619,86,304,560
620,945,556,215
621,950,19,816
622,961,555,540
623,80,52,961
624,650,408,288
625,709,494,1037
626,1074,1044,224
627,232,975,520
628,1063,380,452
629,1071,112,1075
630,876,670,858
631,385,430,932
632,887,956,117
633,538,227,544
635,86,335,69
636,994,5,450
637,937,494,148
638,957,949,960
639,279,769,872
640,232,454,868
641,1000,801,650
642,141,78,5
643,205,958,661
644,823,418,538
645,556,5,285
646,230,667,516
647,288,396,271
648,211,258,964
649,360,967,939
650,402,453,408
651,104,1078,144
652,168,816,1044
653,536,1034,786
654,1010,146,17
655,162,554,67
656,336,540,1016
657,176,173,296
658,919,965,373
659,994,515,206
660,574,943,207
661,531,237,843
662,603,218,236
663,224,307,705
664,514,498,181
665,882,220,530
666,369,842,1057
667,69,270,540
669,931,978,1049
670,404,971,540
672,378,817,643
673,724,1026,816
674,362,697,369
675,929,1061,586
676,1039,609,134
677,648,216,972
678,53,522,831
679,86,473,894
680,198,522,852
681,536,252,869
682,356,775,224
683,48,796,1023
684,425,468,774
685,587,256,88
686,132,967,294
687,1057,418,348
688,251,522,1076
689,637,30,669
690,454,477,736
691,422,1063,941
692,40,956,130
694,883,351,26
696,57,826,382
697,925,723,674
698,13,1050,898
699,481,351,870
700,409,756,1007
701,984,298,165
702,583,1024,864
703,291,75,681
704,597,1069,287
705,429,213,663
706,1006,196,915
707,36,1005,322
708,420,983,1069
709,625,723,940
710,251,326,118
711,145,897,1016
712,994,578,235
713,966,373,535
714,828,799,777
715,994,636,136
716,923,216,508
717,8,608,149
718,739,143,467
719,950,986,337
721,177,61,52
722,739,813,459
723,1025,697,709
724,673,909,53
725,799,72,118
726,204,91,1079
727,57,989,363
728,606,1034,353
729,72,83,224
730,932,430,84
731,112,744,183
732,783,897,1060
733,542,764,1070
734,670,422,589
735,972,592,108
736,988,1060,690
737,158,893,884
738,48,434,978
739,813,576,718
740,746,133,383
741,877,237,679
742,335,1006,880
743,769,352,148
744,23,731,811
745,252,463,871
746,740,738,916
747,11,204,837
748,79,476,807
749,609,923,446
750,305,1020,379
751,298,76,48
752,13,754,429
753,976,326,1025
754,752,739,542
755,816,386,232
756,1051,982,375
757,523,300,630
758,945,60,914
759,978,55,161
760,771,8,223
761,993,329,1021
762,796,959,1025
763,850,130,1026
764,186,149,424
765,1025,20,184
766,575,34,307
767,820,556,818
768,757,621,845
769,743,932,1008
770,739,522,562
771,760,522,860
772,412,953,392
773,469,954,889
774,892,125,59
775,60,576,405
776,862,239,223
777,535,1063,232
778,39,170,362
779,844,817,60
780,993,743,555
781,333,704,179
782,270,925,578
783,732,984,680
784,828,1025,364
785,610,897,48
786,268,382,653
787,601,1029,498
788,218,38,298
790,957,903,405
791,547,604,39
792,418,337,954
793,479,864,485
795,194,266,105
796,48,683,959
797,1079,207,200
798,80,690,791
799,725,166,369
800,37,369,273
801,597,769,339
802,258,78,787
803,54,533,537
804,127,450,535
805,265,274,401
806,984,783,407
807,573,870,743
809,666,136,886
810,919,756,59
811,950,960,570
812,894,960,28
813,739,1028,261
814,205,275,932
815,271,366,182
816,755,621,179
817,779,749,986
818,926,477,919
819,1055,635,951
820,507,767,146
821,967,54,395
822,999,796,832
823,981,644,538
824,378,1015,760
825,716,54,896
826,249,701,984
827,332,347,788
828,714,156,395
829,874,37,541
830,515,790,41
831,678,105,898
832,245,822,465
833,967,116,394
834,391,198,259
835,112,480,1067
836,281,914,855
837,452,414,882
838,325,545,562
839,980,28,869
840,68,813,1065
841,22,558,114
842,213,666,1057
843,661,82,907
844,46,60,779
845,1065,159,110
846,951,552,1052
847,93,427,729
848,298,522,320
850,403,535,294
851,434,986,821
852,680,967,893
853,573,955,5
854,677,592,1004
855,1010,986,590
856,54,1023,357
857,309,749,1033
858,165,85,982
859,965,256,862
860,274,497,395
861,376,1010,749
862,776,101,292
863,54,487,116
864,793,580,397
865,272,204,137
866,352,116,549
867,609,446,1036
868,202,473,389
869,681,1069,839
870,807,75,699
871,36,389,112
872,932,605,452
873,482,147,595
874,829,479,174
875,522,263,21
876,909,210,630
877,920,60,741
878,413,544,48
879,63,945,803
880,364,207,309
881,313,697,855
882,665,67,243
883,292,694,179
884,890,158,535
885,951,616,254
886,574,809,10
887,632,247,72
888,572,680,786
889,180,831,954
890,884,405,282
891,540,678,622
892,774,59,1067
893,297,587,848
894,86,812,679
895,1017,901,438
896,945,914,661
897,486,1023,785
898,197,141,831
899,499,339,979
900,232,595,456
901,508,975,895
902,16,672,680
903,224,334,353
904,377,310,341
905,63,785,574
906,214,245,328
907,843,1002,380
908,951,1028,994
909,53,876,724
910,395,452,788
912,614,394,927
913,204,325,1050
914,945,896,844
915,379,158,418
916,5,271,505
917,899,234,1076
918,939,399,535
919,333,810,818
920,877,191,43
921,67,508,59
922,177,9,89
923,716,749,556
924,325,502,1000
925,957,275,697
926,818,717,427
927,197,610,785
928,238,73,596
929,987,451,675
930,428,576,1062
931,669,1005,26
932,769,605,872
933,1031,978,401
934,605,246,1003
935,228,648,546
936,487,110,1065
937,637,148,1048
938,211,50,112
939,967,918,362
940,297,243,948
941,691,1032,631
943,738,660,168
944,107,953,980
945,914,896,758
946,542,331,828
947,330,42,661
948,401,940,775
949,960,175,28
950,719,811,621
951,908,885,846
952,225,535,227
953,132,980,944
954,180,755,792
955,853,605,987
956,433,75,632
957,790,638,491
958,240,446,643
959,28,796,945
960,301,811,949
961,622,532,213
962,96,20,1065
963,134,63,863
964,648,258,512
965,859,278,658
966,135,373,713
967,294,79,939
968,224,163,532
969,1040,199,275
970,579,714,1023
971,428,576,670
972,313,482,677
973,214,774,125
974,505,1047,422
975,627,520,945
976,753,1033,70
977,416,17,197
978,759,738,594
979,580,899,508
980,387,369,839
981,823,681,357
982,32,858,756
983,470,22,708
984,522,701,275
985,973,8,1053
986,719,855,817
987,929,451,955
988,736,1037,289
989,55,727,201
990,223,859,587
991,595,482,498
992,548,16,12
993,761,780,769
994,636,515,712
995,59,239,133
996,209,133,468
997,1005,49,691
999,822,680,21
1000,641,1067,242
1001,917,377,58
1002,36,198,220
1003,552,1068,603
1004,583,112,709
1005,1067,337,997
1006,545,643,945
1007,206,252,265
1008,769,539,336
1009,1033,447,764
1010,386,855,861
1011,339,334,353
1012,12,95,896
1013,945,58,130
1014,524,462,817
1015,824,196,620
1016,755,656,525
1017,895,975,896
1018,370,564,800
1019,392,270,500
1020,583,956,379
1021,587,362,250
1022,502,601,340
1023,282,897,32
1024,576,469,237
1025,959,762,205
1026,763,42,673
1027,127,111,3
1028,42,101,908
1029,897,787,516
1030,791,544,21
1031,933,134,39
1032,314,941,378
1033,1009,1060,972
1034,653,164,470
1036,32,228,867
1037,42,494,25
1038,158,247,80
1039,676,609,807
1040,561,1023,688
1042,606,532,338
1043,477,72,326
1044,435,1060,408
1045,681,530,1007
1047,89,91,278
1048,85,937,208
1049,424,421,360
1050,698,467,589
1051,756,375,57
1052,211,829,369
1053,933,247,985
1054,648,207,364
1055,364,574,858
1057,687,355,242
1058,408,288,1060
1059,400,1064,805
1060,408,402,732
1061,148,62,586
1062,69,264,930
1063,628,777,691
1064,361,394,449
1065,224,382,845
1066,392,365,163
1067,1005,43,580
1068,1003,807,796
1069,241,135,869
1070,733,318,898
1071,629,107,336
1072,161,382,491
1074,626,221,260
1075,629,1023,549
1076,294,356,917
1077,595,624,227
1078,60,316,556
1079,481,797,221
1080,104,491,345
1082,97,278,239
1083,169,128,206
